Array Size, Basic Operations, Execution Time(ms)
171000,698164,3
171000,484262,2
171000,454543,3
176000,821542,5
176000,518533,3
176000,471426,3
176000,432632,3
176000,577239,3
176000,662434,4
176000,777407,5
176000,370076,2
176000,556157,3
176000,496525,3
181000,499840,3
181000,870335,4
181000,557111,3
181000,539423,3
181000,821380,4
181000,555136,4
181000,698347,4
181000,389846,3
181000,444573,3
181000,792776,6
186000,519851,4
186000,793837,4
186000,598159,4
186000,431963,3
186000,1112563,5
186000,705012,5
186000,778985,4
186000,698832,3
186000,377191,3
186000,439187,4
191000,1115689,4
191000,575408,4
191000,1006829,5
191000,565534,4
191000,843971,5
191000,757994,5
191000,711835,5
191000,782513,4
191000,467576,2
191000,825131,4
196000,646702,3
196000,532028,3
196000,1091041,4
196000,803657,3
196000,700514,4
196000,614654,3
196000,596121,3
196000,709315,3
196000,804311,4
196000,662180,4
201000,778912,5
201000,1002279,6
201000,543089,2
201000,667387,3
201000,574473,3
201000,590217,3
201000,515485,3
201000,427132,3
201000,877503,3
201000,677414,4
206000,755361,3
206000,732595,3
206000,1110214,4
206000,557872,3
206000,586031,3
206000,536946,4
206000,774469,4
206000,575282,3
206000,430538,3
206000,534916,4
211000,687656,4
211000,661255,3
211000,926953,5
211000,489413,2
211000,920207,4
211000,506620,3
211000,460133,3
211000,871518,4
211000,1228996,5
211000,932977,7
216000,973349,4
216000,803404,4
216000,765167,4
216000,473080,4
216000,1021831,7
216000,841265,4
216000,766364,3
216000,573496,3
216000,658749,3
216000,471325,3
221000,582443,3
221000,518191,2
221000,1073957,5
221000,644567,3
221000,857335,4
221000,441568,2
221000,617583,3
221000,739795,3
221000,443026,3
221000,936758,4
226000,493905,3
226000,660481,4
226000,960332,4
226000,866301,5
226000,1045309,6
226000,1009298,5
226000,507631,3
226000,566450,3
226000,703867,3
226000,474384,5
231000,548845,3
231000,822727,4
231000,958144,4
231000,536396,2
231000,860274,7
231000,786335,5
231000,456716,4
231000,481841,4
231000,815500,6
231000,698007,5
236000,1003949,6
236000,644289,5
236000,657110,4
236000,688602,5
236000,715081,4
236000,792319,3
236000,711616,3
236000,676097,3
236000,1445636,6
236000,788579,4
241000,677209,4
241000,773379,3
241000,1186066,5
241000,830259,5
241000,561151,3
241000,882988,5
241000,836654,4
241000,859128,5
241000,903365,4
241000,1035442,5
246000,1071423,5
246000,767101,6
246000,695145,3
246000,756569,4
246000,697807,4
246000,812734,5
246000,473078,2
246000,1126120,6
246000,790598,4
246000,823498,5
251000,961822,4
251000,1020014,5
251000,755418,3
251000,529438,4
251000,639042,4
251000,1097909,4
251000,523249,3
251000,866964,4
251000,1159466,6
251000,790514,4
256000,715131,4
256000,609677,3
256000,849206,5
256000,1398211,6
256000,562308,2
256000,893118,4
256000,1474419,7
256000,644419,4
256000,670988,4
256000,1139530,7
261000,633079,4
261000,674092,3
261000,708227,5
261000,1224386,7
261000,760353,4
261000,639217,3
261000,747839,4
261000,740573,5
261000,862730,4
261000,666031,3
266000,1337039,9
266000,1251227,6
266000,885986,6
266000,556747,3
266000,1140141,6
266000,895141,5
266000,1257551,7
266000,1158185,6
266000,879326,4
266000,666754,4
271000,847424,4
271000,1621146,6
271000,740213,3
271000,1095628,9
271000,825788,4
271000,1043389,4
271000,842573,7
271000,825663,4
271000,793642,4
271000,1125069,5
276000,828638,5
276000,1104021,6
276000,492978,3
276000,760866,4
276000,754597,5
276000,1251541,7
276000,1002902,4
276000,1168847,6
276000,1181822,7
276000,1002205,7
281000,826139,4
281000,700645,4
281000,1093340,6
281000,1120210,5
281000,971901,4
281000,597638,3
281000,999180,5
281000,660030,5
281000,620255,4
281000,841358,4
286000,881430,5
286000,1097142,5
286000,1254082,6
286000,1370260,6
286000,1269035,6
286000,956745,6
286000,863893,6
286000,1206961,6
286000,920841,6
286000,1188029,8
291000,936203,5
291000,1093851,5
291000,660444,3
291000,746577,4
291000,707726,4
291000,1250058,6
291000,797540,5
291000,897096,4
291000,657766,4
291000,801338,5
296000,910507,6
296000,1003663,4
296000,1141630,6
296000,1416444,7
296000,1018914,5
296000,820790,4
296000,1408769,7
296000,1172310,7
296000,1017431,6
296000,975144,5
301000,955058,5
301000,904418,6
301000,843777,4
301000,2248324,10
301000,485087,3
301000,688714,2
301000,1289857,7
301000,556514,4
301000,985274,4
301000,999897,6
306000,1164878,6
306000,589501,3
306000,1052843,7
306000,904436,5
306000,615187,5
306000,904239,7
306000,1491653,7
306000,754702,5
306000,837504,5
306000,806284,6
311000,1294235,5
311000,969668,4
311000,933747,4
311000,1085581,6
311000,671311,4
311000,1006816,7
311000,1091396,5
311000,826872,4
311000,1148852,5
311000,1002497,5
316000,501200,3
316000,1140373,6
316000,1592466,7
316000,1330096,8
316000,1358755,7
316000,927333,5
316000,729505,5
316000,1751789,11
316000,1443051,6
316000,1234480,6
321000,1192480,5
321000,1289506,6
321000,1057196,6
321000,1185619,6
321000,917086,5
321000,963777,7
321000,1628218,7
321000,1322693,8
321000,1363414,6
321000,877280,5
326000,789637,4
326000,1071119,5
326000,1665664,6
326000,1309904,6
326000,1403455,9
326000,631575,5
326000,1085825,5
326000,1036338,5
326000,914886,4
326000,1174129,6
331000,750888,5
331000,869248,5
331000,1026163,6
331000,1482806,10
331000,920909,5
331000,1234039,5
331000,1299738,5
331000,990080,5
331000,1076853,6
331000,1629141,8
336000,1324268,7
