1000,138268
6000,79229
11000,157147
16000,264504
21000,349941
26000,380180
31000,520017
36000,513297
41000,811880
46000,911941
51000,850791
56000,854471
61000,1094080
66000,1322906
71000,1191453
76000,1403607
81000,1392952
86000,1077856
91000,1412919
96000,1204445
101000,2233727
106000,1642512
111000,1704879
116000,1573106
121000,1953416
126000,2567221
131000,2443865
136000,2294749
141000,2204384
146000,2143074
151000,2628788
156000,2775696
161000,2490360
166000,2974762
171000,2770320
176000,3626935
181000,3085639
186000,3096934
191000,3133253
196000,3350783
201000,3581881
206000,3647894
211000,2838734
216000,3238306
221000,3202243
226000,2826350
231000,2984393
236000,3691413
241000,3922606
246000,3235522
251000,3059111
256000,3927662
261000,3523226
266000,3784082
271000,4174695
276000,3849297
281000,4013292
286000,4441920
291000,4061899
296000,4026220
301000,4982544
306000,4665337
311000,4527293
316000,4319203
321000,4509118
326000,4517150
331000,4219110
336000,5838295
341000,5735610
346000,5189002
351000,4821045
356000,5204554
361000,4957073
366000,4712696
371000,5893302
376000,5684924
381000,5589119
386000,5598238
391000,5532192
396000,6265675
401000,5712187
406000,6324713
411000,6055857
416000,5731963
421000,4882643
426000,5982675
431000,6424262
436000,6950967
441000,5948820
446000,5908790
451000,6395719
456000,7254767
461000,6502916
466000,7039381
471000,7173809
476000,6172846
481000,6301450
486000,6830843
491000,6905113
496000,5947348
