1000,597725
2000,2120800
3000,4483950
4000,9444900
5000,12545125
6000,15728400
7000,22171275
8000,36209200
9000,39016125
10000,49805250
11000,54267125
12000,75998400
13000,84480175
14000,109459350
15000,102960750
16000,115862000
17000,181328375
18000,151875450
19000,196019200
20000,203442500
21000,203768250
22000,246385700
23000,305342250
24000,329056800
25000,316832500
26000,372407100
27000,338274900
28000,420478800
29000,410948850
30000,498477000
31000,499075975
32000,557472800
33000,567988575
34000,630479850
35000,620074875
36000,590500800
37000,653905625
38000,638846500
39000,852876375
40000,799086000
41000,815089225
42000,934091550
43000,1076298600
44000,837106600
45000,1132812000
46000,1139671850
47000,982879275
48000,1149372000
49000,1295188825
50000,1120510000
51000,1118720700
52000,1355556800
53000,1420430475
54000,1523059200
55000,1589523375
56000,1455379800
57000,2067579525
58000,1706781950
59000,1507299550
60000,1983564000
61000,1945747500
62000,1862966700
63000,1914488100
64000,1840577600
65000,2083256500
66000,2616358800
67000,1803573000
68000,2586473500
69000,2027823750
70000,2114134750
71000,2647011350
72000,2716025400
73000,2241682175
74000,2981073350
75000,3455193750
76000,3118223000
77000,2598561350
78000,2852465850
79000,3251715050
80000,3038680000
81000,3263747175
82000,3089183950
83000,3689740100
84000,3311135100
85000,3368380000
86000,3729944700
87000,3786531450
88000,4648710000
89000,3771265975
90000,4939076250
91000,4091239425
92000,4112528800
93000,3705845400
94000,4300257950
95000,4541748125
96000,4104732000
97000,4804749500
98000,5840275700
99000,5253563700
100000,5740935000
