1000,3343
6000,17930
11000,34592
16000,53187
21000,81508
26000,81039
31000,113806
36000,127087
41000,152169
46000,158488
51000,159841
56000,206798
61000,184445
66000,203934
71000,230093
76000,238306
81000,289647
86000,304112
91000,297318
96000,289293
101000,356669
106000,339658
111000,359403
116000,368019
121000,342838
126000,453101
131000,484363
136000,447603
141000,465956
146000,501091
151000,433829
156000,501789
161000,547938
166000,632084
171000,540840
176000,603664
181000,626764
186000,604927
191000,742022
196000,643020
201000,672280
206000,661377
211000,703400
216000,634244
221000,829919
226000,753086
231000,764354
236000,767132
241000,869473
246000,989297
251000,853248
256000,1018985
261000,949642
266000,813657
271000,1077705
276000,891974
281000,959741
286000,864643
291000,831317
296000,1107914
301000,1003690
306000,1001834
311000,985543
316000,1056403
321000,1093519
326000,1219555
331000,1249566
336000,1188145
341000,887682
346000,1310761
351000,1082198
356000,957456
361000,1225480
366000,1057315
371000,1146686
376000,1440841
381000,1602664
386000,1306341
391000,1100771
396000,1403444
401000,1173643
406000,1008740
411000,1659442
416000,1399741
421000,1604667
426000,1398542
431000,1459255
436000,1451365
441000,1619738
446000,1433498
451000,1574882
456000,1630395
461000,1606328
466000,1786728
471000,1382863
476000,1372044
481000,1663362
486000,1920928
491000,1661492
496000,1663762
